order_id,date,region,category,amount,quantity
O0001,2026-01-22,West,Electronics,64.14,5
O0002,2026-03-19,West,Books,103.7,1
O0003,2026-02-15,North,Books,169.9,5
O0004,2026-02-26,North,Home,495.12,5
O0005,2026-01-16,West,Books,79.08,2
O0006,2026-03-04,South,Electronics,168.39,3
O0007,2026-03-05,North,Electronics,346.65,5
O0008,2026-02-04,East,Clothing,31.48,3
O0009,2026-03-24,South,Home,233.69,2
O0010,2026-01-06,North,Electronics,339.17,4
O0011,2026-01-03,South,Electronics,,1
O0012,2026-01-14,North,Books,490.65,5
O0013,2026-03-20,South,Clothing,56.22,1
O0014,2026-03-11,East,Electronics,326.93,5
O0015,2026-01-12,South,Home,23.99,3
O0016,2026-03-16,West,Electronics,170.79,4
O0017,2026-01-25,North,Home,288.54,1
O0018,2026-03-13,West,Electronics,268.98,3
O0019,2026-02-16,East,Books,402.86,2
O0020,2026-03-02,South,Books,315.14,4
O0021,2026-01-07,South,Books,44.92,1
O0022,2026-03-08,East,Clothing,335.37,2
O0023,2026-03-12,North,Home,152.35,4
O0024,2026-03-28,South,Electronics,151.78,2
O0025,2026-02-20,East,Electronics,147.67,2
O0026,2026-03-22,East,Electronics,409.97,5
O0027,2026-02-03,West,Clothing,184.99,5
O0028,2026-01-25,West,Books,222.46,3
O0029,2026-01-12,East,Clothing,72.64,4
O0030,2026-01-24,North,Home,196.29,1
O0031,2026-03-16,East,Books,215.26,3
O0032,2026-03-01,West,Electronics,204.95,5
O0033,2026-03-18,West,Books,138.33,3
O0034,2026-03-28,East,Electronics,20.06,5
O0035,2026-03-27,South,Clothing,314.52,4
O0036,2026-02-27,West,Clothing,436.55,4
O0037,2026-03-13,North,Clothing,300.2,2
O0038,2026-01-06,North,Books,45.29,3
O0039,2026-03-26,East,Clothing,24.89,5
O0040,2026-01-26,West,Clothing,396.27,4
O0041,2026-01-22,South,Home,29.63,1
O0042,2026-02-10,North,Clothing,86.92,4
O0043,2026-01-21,East,Clothing,249.01,4
O0044,2026-03-24,West,Electronics,426.91,3
O0045,2026-01-22,South,Books,125.65,1
O0046,2026-01-28,West,Home,309.12,2
O0047,2026-01-04,East,Electronics,239.87,1
O0048,2026-02-07,South,Books,140.23,3
O0049,2026-01-16,East,Clothing,204.63,1
O0050,2026-02-21,South,Clothing,481.04,2
O0051,2026-02-13,North,Clothing,286.23,4
O0052,2026-01-28,South,Electronics,372.08,1
O0053,2026-03-05,North,Books,234.92,4
O0054,2026-03-14,South,Clothing,61.98,2
O0055,2026-02-19,South,Home,91.92,3
O0056,2026-02-20,East,Electronics,n/a,3
O0057,2026-03-16,South,Books,137.31,1
O0058,2026-03-24,South,Books,143.95,1
O0059,2026-03-23,South,Clothing,112.98,1
O0060,2026-03-05,East,Books,284.05,5
O0061,2026-01-18,West,Electronics,215.75,5
O0062,2026-01-12,West,Clothing,374.9,2
O0063,2026-01-06,East,Clothing,12.22,2
O0064,2026-02-23,West,Electronics,484.71,2
O0065,2026-03-10,South,Clothing,325.81,3
O0066,2026-01-12,South,Books,488.75,5
O0067,2026-02-08,North,Clothing,437.96,4
O0068,2026-01-11,North,Home,76.38,1
O0069,2026-01-13,East,Books,346.34,5
O0070,2026-02-12,East,Electronics,237.79,2
O0071,2026-02-26,North,Home,334.04,3
O0072,2026-02-04,East,Books,59.42,2
O0073,2026-01-27,South,Books,186.47,2
O0074,2026-01-19,North,Books,447.45,4
O0075,2026-01-03,East,Electronics,174.96,3
O0076,2026-02-25,South,Electronics,94.77,2
O0077,2026-02-11,North,Clothing,23.84,2
O0078,2026-02-20,South,Books,479.25,5
O0079,2026-01-26,North,Clothing,441.95,1
O0080,2026-03-14,South,Clothing,145.0,5
O0081,not-a-date,West,Home,155.65,2
O0082,2026-02-08,East,Clothing,382.3,1
O0083,2026-01-28,East,Clothing,271.92,4
O0084,2026-02-12,West,Clothing,216.66,2
O0085,2026-02-03,South,Clothing,489.78,1
O0086,2026-01-03,North,Clothing,273.53,1
O0087,2026-03-01,South,Books,198.04,1
O0088,2026-03-18,West,Home,360.94,5
O0089,2026-03-03,South,Electronics,72.91,3
O0090,2026-03-06,South,Clothing,208.1,4
O0091,2026-03-07,North,Electronics,439.89,3
O0092,2026-02-04,North,Books,357.45,4
O0093,2026-01-23,South,Books,197.14,2
O0094,2026-01-25,North,Electronics,261.3,1
O0095,2026-03-18,West,Books,289.57,4
O0096,2026-03-15,North,Books,147.86,4
O0097,2026-03-22,East,Books,115.13,3
O0098,2026-01-27,South,Books,163.86,2
O0099,2026-02-01,West,Electronics,475.34,1
O0100,2026-01-20,North,Books,251.9,2
O0101,2026-01-23,South,Books,84.24,1
O0102,2026-03-21,East,Books,208.14,1
O0103,2026-01-24,South,Clothing,9.16,4
O0104,2026-01-25,North,Books,303.64,2
O0105,2026-01-20,North,Electronics,307.34,4
O0106,2026-01-18,South,Clothing,256.75,5
O0107,2026-03-02,North,Electronics,171.69,1
O0108,2026-03-19,South,Electronics,474.35,4
O0109,2026-01-09,North,Books,136.84,5
O0110,2026-01-24,West,Clothing,271.86,1
O0111,2026-01-07,East,Books,336.69,5
O0112,2026-03-17,West,Electronics,110.94,3
O0113,2026-03-01,North,Books,491.02,1
O0114,2026-02-01,East,Home,330.7,3
O0115,2026-01-16,East,Books,326.78,1
O0116,2026-03-09,South,Books,431.06,1
O0117,2026-01-16,North,Clothing,96.65,3
O0118,2026-02-19,West,Electronics,482.54,1
O0119,2026-01-07,West,Clothing,176.35,5
O0120,2026-02-27,North,Clothing,66.95,3
O0121,2026-01-21,West,Home,237.34,2
O0122,2026-03-04,South,Home,169.58,4
O0123,2026-03-18,North,Electronics,68.56,1
O0124,2026-02-01,East,Clothing,277.75,3
O0125,2026-01-07,South,Books,390.17,4
O0126,2026-01-11,South,Clothing,345.09,2
O0127,2026-03-19,South,Books,249.03,1
O0128,2026-03-09,South,Clothing,219.26,3
O0129,2026-03-16,West,Home,48.22,5
O0130,2026-01-28,West,Clothing,122.36,5
O0131,2026-03-20,West,Books,455.19,2
O0132,2026-03-13,East,Electronics,499.52,3
O0133,2026-01-12,East,Home,439.65,3
O0134,2026-03-20,East,Home,464.04,5
O0135,2026-02-18,North,Books,359.57,3
O0136,2026-01-13,North,Electronics,434.14,1
O0137,2026-03-10,South,Electronics,456.1,1
O0138,2026-03-04,East,Clothing,6.35,5
O0139,2026-03-12,North,Clothing,39.46,2
O0140,2026-01-15,East,Home,22.83,2
O0021,2026-01-07,South,Books,44.92,1
O0021,2026-01-07,South,Books,44.92,1
