date,region,revenue
2026-04-01,North,239.1
2026-04-01,South,320.72
2026-04-01,East,217.96
2026-04-02,North,266.55
2026-04-02,South,318.79
2026-04-02,East,337.9
2026-04-03,North,294.45
2026-04-03,South,224.09
2026-04-03,East,190.16
2026-04-04,North,299.18
2026-04-04,South,181.79
2026-04-04,East,288.44
2026-04-05,North,246.83
2026-04-05,South,325.53
2026-04-05,East,318.6
2026-04-06,North,318.66
2026-04-06,South,168.22
2026-04-06,East,261.04
2026-04-07,North,305.9
2026-04-07,South,281.78
2026-04-07,East,324.13
2026-04-08,North,236.5
2026-04-08,South,202.47
2026-04-08,East,285.26
2026-04-09,North,262.62
2026-04-09,South,313.8
2026-04-09,East,304.2
2026-04-10,North,322.72
2026-04-10,South,148.16
2026-04-10,East,238.77
2026-04-11,North,289.79
2026-04-11,South,236.31
2026-04-11,East,366.25
2026-04-12,North,393.0
2026-04-12,South,206.2
2026-04-12,East,349.67
2026-04-13,North,326.02
2026-04-13,South,321.17
2026-04-13,East,231.15
2026-04-14,North,397.54
2026-04-14,South,285.63
2026-04-14,East,371.94
2026-04-15,North,307.98
2026-04-15,South,238.62
2026-04-15,East,247.84
2026-04-16,North,408.28
2026-04-16,South,261.51
2026-04-16,East,250.11
2026-04-17,North,357.25
2026-04-17,South,140.61
2026-04-17,East,205.64
2026-04-18,North,283.66
2026-04-18,South,296.84
2026-04-18,East,323.86
2026-04-19,North,251.16
2026-04-19,South,320.11
2026-04-19,East,192.17
2026-04-20,North,277.99
2026-04-20,South,286.67
2026-04-20,East,344.51
2026-04-21,North,271.05
2026-04-21,South,314.61
2026-04-21,East,194.89
2026-04-22,North,398.16
2026-04-22,South,143.23
2026-04-22,East,222.45
2026-04-23,North,351.18
2026-04-23,South,249.87
2026-04-23,East,262.37
2026-04-24,North,417.48
2026-04-24,South,301.88
2026-04-24,East,301.99
2026-04-25,North,340.73
2026-04-25,South,290.9
2026-04-25,East,306.27
2026-04-26,North,236.98
2026-04-26,South,308.95
2026-04-26,East,268.71
2026-04-27,North,377.73
2026-04-27,South,276.87
2026-04-27,East,184.47
2026-04-28,North,276.0
2026-04-28,South,194.0
2026-04-28,East,200.12
2026-04-29,North,258.04
2026-04-29,South,163.19
2026-04-29,East,284.52
2026-04-30,North,267.95
2026-04-30,South,142.09
2026-04-30,East,302.46
2026-05-01,North,310.44
2026-05-01,South,257.97
2026-05-01,East,376.97
2026-05-02,North,419.55
2026-05-02,South,247.76
2026-05-02,East,192.17
2026-05-03,North,249.5
2026-05-03,South,291.79
2026-05-03,East,270.07
2026-05-04,North,220.34
2026-05-04,South,332.65
2026-05-04,East,361.75
2026-05-05,North,321.0
2026-05-05,South,212.3
2026-05-05,East,360.85
2026-05-06,North,410.45
2026-05-06,South,292.78
2026-05-06,East,291.94
2026-05-07,North,342.18
2026-05-07,South,164.4
2026-05-07,East,359.93
2026-05-08,North,263.67
2026-05-08,South,278.72
2026-05-08,East,207.72
2026-05-09,North,317.68
2026-05-09,South,171.51
2026-05-09,East,328.71
2026-05-10,North,354.33
2026-05-10,South,231.15
2026-05-10,East,269.0
2026-05-11,North,337.38
2026-05-11,South,171.41
2026-05-11,East,245.36
2026-05-12,North,410.59
2026-05-12,South,250.11
2026-05-12,East,288.76
2026-05-13,North,385.02
2026-05-13,South,286.77
2026-05-13,East,183.56
2026-05-14,North,369.64
2026-05-14,South,212.97
2026-05-14,East,207.92
2026-05-15,North,302.45
2026-05-15,South,333.58
2026-05-15,East,212.38
