order_id,date,region,category,amount,quantity
R00001,2026-05-27,West,Clothing,460.69,1
R00002,2026-06-17,East,Clothing,656.12,4
R00003,2026-06-04,East,Books,296.66,3
R00004,2026-05-22,South,Books,630.7,2
R00005,2026-06-02,East,Clothing,382.17,8
R00006,2026-05-03,West,Books,167.69,6
R00007,2026-05-16,West,Electronics,700.16,3
R00008,2026-05-19,North,Home,,3
R00009,2026-05-31,West,Sports,87.85,8
R00010,2026-05-22,West,Clothing,285.1,5
R00011,2026-05-31,North,Books,743.32,7
R00012,2026-05-05,North,Clothing,631.96,8
R00013,2026-05-18,East,Sports,513.72,5
R00014,2026-06-15,South,Sports,300.61,1
R00015,2026-05-24,South,Clothing,349.23,6
R00016,2026-05-21,West,Home,618.13,7
R00017,2026-05-09,South,Books,376.5,6
R00018,2026-05-08,East,Books,590.64,2
R00019,2026-06-14,West,Home,90.52,8
R00020,2026-06-04,South,Sports,163.13,8
R00021,2026-05-21,North,Sports,118.97,2
R00022,2026-06-05,East,Sports,324.64,6
R00023,2026-06-22,South,Books,442.72,3
R00024,2026-06-07,East,Clothing,453.16,3
R00025,2026-05-16,North,Clothing,330.92,1
R00026,2026-05-03,East,Home,258.95,2
R00027,2026-06-15,South,Home,446.3,3
R00028,2026-05-06,West,Home,41.0,3
R00029,2026-05-05,East,Electronics,145.94,2
R00030,2026-06-08,West,Home,571.3,6
R00031,2026-05-14,West,Home,671.28,7
R00032,2026-05-27,South,Home,635.21,1
R00033,2026-05-27,West,Sports,636.65,3
R00034,2026-06-20,South,Electronics,726.72,6
R00035,2026-05-06,South,Sports,37.04,5
R00036,2026-06-26,East,Home,237.05,4
R00037,2026-05-21,South,Clothing,767.45,1
R00038,2026-05-28,West,Clothing,116.71,3
R00039,2026-05-29,East,Clothing,487.24,4
R00040,2026-05-23,West,Home,296.46,4
R00041,2026-06-18,South,Home,208.84,4
R00042,2026-06-18,North,Electronics,434.54,1
R00043,2026-06-19,West,Clothing,302.57,3
R00044,2026-06-01,West,Home,364.04,7
R00045,2026-05-27,South,Sports,error,6
R00046,2026-05-27,South,Electronics,664.9,7
R00047,2026-06-14,East,Clothing,62.42,4
R00048,2026-06-16,East,Books,181.82,7
R00049,2026-05-13,East,Electronics,319.59,2
R00050,2026-05-23,East,Home,157.29,1
R00051,2026-06-02,South,Books,254.17,1
R00052,2026-05-16,North,Home,168.78,2
R00053,2026-06-29,North,Books,489.13,1
R00054,2026-05-25,South,Electronics,578.67,4
R00055,2026-06-14,West,Clothing,371.55,7
R00056,2026-05-19,North,Clothing,39.66,1
R00057,2026-06-29,North,Sports,757.96,5
R00058,2026-05-07,East,Electronics,670.6,2
R00059,2026-05-19,West,Electronics,339.74,6
R00060,2026-05-20,West,Clothing,20.86,7
R00061,2026-05-26,East,Clothing,543.27,5
R00062,2026-05-19,South,Books,270.54,5
R00063,2026-05-31,West,Clothing,321.09,4
R00064,2026-06-06,North,Electronics,355.75,1
R00065,2026-05-02,East,Sports,390.96,1
R00066,2026-05-08,East,Sports,75.43,4
R00067,2026-05-03,South,Electronics,65.39,2
R00068,2026-06-14,East,Sports,72.23,7
R00069,2026-05-25,West,Clothing,73.16,6
R00070,2026-05-20,East,Clothing,472.0,1
R00071,2026-05-30,West,Books,49.37,8
R00072,2026-05-18,South,Home,131.27,4
R00073,2026-06-07,East,Clothing,15.9,1
R00074,2026-06-09,East,Sports,123.22,2
R00075,2026-05-23,West,Electronics,151.16,7
R00076,2026-06-19,South,Home,361.83,3
R00077,2026-06-22,North,Books,116.39,7
R00078,2026-06-01,North,Home,799.12,7
R00079,2026-05-16,East,Clothing,547.27,6
R00080,2026-06-13,South,Sports,458.43,4
R00081,2026-05-04,North,Clothing,462.13,5
R00082,2026-05-22,South,Clothing,428.47,5
R00083,2026-06-09,East,Sports,421.72,3
R00084,2026-05-04,North,Books,561.72,3
R00085,2026-06-24,South,Home,252.73,1
R00086,2026-05-02,East,Clothing,353.6,7
R00087,2026-06-26,South,Books,284.88,6
R00088,2026-06-19,East,Sports,259.29,3
R00089,2026-05-27,East,Electronics,,2
R00090,2026-06-25,South,Electronics,325.81,8
R00091,2026-05-27,East,Books,253.36,5
R00092,2026-06-16,South,Clothing,43.61,1
R00093,2026-06-29,West,Sports,196.87,8
R00094,2026-05-05,East,Electronics,172.98,7
R00095,2026-06-27,West,Electronics,59.0,6
R00096,2026-06-18,East,Home,143.7,1
R00097,2026-06-08,West,Clothing,591.51,6
R00098,2026-06-07,West,Home,521.48,4
R00099,2026-05-04,West,Clothing,798.18,6
R00100,2026-05-10,East,Clothing,276.26,2
R00101,2026-06-07,North,Electronics,440.31,2
R00102,2026-05-02,South,Sports,500.4,8
R00103,2026-05-23,East,Clothing,612.94,5
R00104,2026-06-20,North,Clothing,157.03,2
R00105,2026-06-10,East,Sports,719.13,6
R00106,2026-05-18,West,Clothing,429.05,1
R00107,2026-06-19,West,Books,153.78,3
R00108,2026-05-19,East,Electronics,232.05,2
R00109,2026-06-11,North,Sports,195.13,6
R00110,2026-05-23,West,Electronics,102.51,7
R00111,2026-06-30,East,Home,389.92,3
R00112,2026-06-24,South,Home,781.14,1
R00113,2026-06-25,North,Clothing,206.51,7
R00114,2026-06-21,East,Sports,283.77,8
R00115,2026-05-09,East,Electronics,73.19,3
R00116,2026-06-01,West,Electronics,236.1,1
R00117,2026-06-15,South,Sports,443.52,8
R00118,2026-06-13,West,Sports,135.32,1
R00119,2026-06-18,South,Clothing,296.56,5
R00120,2026-05-08,South,Books,547.0,3
R00121,2026-13-45,East,Books,85.4,6
R00122,2026-05-16,East,Electronics,512.45,5
R00123,2026-05-24,East,Electronics,443.98,4
R00124,2026-05-31,North,Electronics,494.62,1
R00125,2026-06-20,South,Sports,394.06,1
R00126,2026-05-13,South,Books,150.7,7
R00127,2026-05-06,North,Electronics,546.35,2
R00128,2026-06-10,South,Home,378.54,4
R00129,2026-06-21,North,Clothing,113.15,4
R00130,2026-06-09,South,Books,546.15,5
R00131,2026-05-21,East,Home,172.09,1
R00132,2026-05-06,South,Clothing,30.91,1
R00133,2026-05-09,East,Sports,786.8,5
R00134,2026-06-01,North,Home,322.08,6
R00135,2026-06-03,West,Electronics,741.16,7
R00136,2026-06-13,West,Sports,287.95,6
R00137,2026-05-28,East,Electronics,704.39,6
R00138,2026-06-04,South,Books,415.15,6
R00139,2026-06-06,East,Home,641.92,7
R00140,2026-05-17,East,Clothing,315.25,1
R00141,2026-05-19,East,Books,357.1,7
R00142,2026-05-01,South,Home,50.35,1
R00143,2026-05-26,South,Home,646.31,3
R00144,2026-06-06,South,Books,176.46,7
R00145,2026-06-02,South,Clothing,517.1,6
R00146,2026-06-18,West,Electronics,512.78,4
R00147,2026-06-20,South,Sports,29.79,5
R00148,2026-06-07,East,Clothing,67.05,8
R00149,2026-06-06,East,Home,433.71,7
R00150,2026-05-03,East,Clothing,298.32,8
R00151,2026-05-07,West,Clothing,798.22,7
R00152,2026-06-02,North,Home,330.15,8
R00153,2026-06-17,East,Books,186.53,4
R00154,2026-06-25,North,Home,544.3,4
R00155,2026-06-11,East,Clothing,176.94,2
R00156,2026-05-15,North,Home,546.97,5
R00157,2026-05-14,North,Electronics,689.12,3
R00158,2026-06-30,South,Books,366.6,1
R00159,2026-05-17,East,Books,515.21,2
R00160,2026-06-03,West,Home,114.38,1
R00161,2026-05-10,South,Electronics,105.68,2
R00162,2026-05-27,South,Home,687.53,3
R00163,2026-06-20,North,Books,377.69,4
R00164,2026-06-10,North,Electronics,473.48,3
R00165,2026-05-24,West,Home,269.07,6
R00166,2026-05-17,West,Electronics,673.72,2
R00167,2026-06-19,North,Clothing,266.79,4
R00168,2026-05-29,South,Sports,206.3,3
R00169,2026-05-29,East,Electronics,597.49,3
R00170,2026-06-06,West,Clothing,268.43,4
R00171,2026-05-10,East,Clothing,239.11,3
